key,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
API,89.48387097,113.1935484,119.5483871,80.67741935,91.90322581,106,116.8709677,99.03225806,106.3225806,87.41935484
API,82.28571429,100.5,128.25,60,61.35714286,91.64285714,89.5,116.1071429,103.3571429,93.64285714
API,89.06451613,107.5483871,120.2258065,93.38709677,96.35483871,86.64516129,94.90322581,85.22580645,108.7741935,74.06451613
API,84.6,98.76666667,118.5,109.3666667,82.53333333,87.4,83.6,85.26666667,77.03333333,80.93333333
API,73.87096774,91.93548387,109.1290323,63.96774194,60.35483871,85.12903226,94.80645161,72.48387097,75.90322581,75.38709677
API,72.5,76.96666667,116.7,67.56666667,68.96666667,69.26666667,96.63333333,85.53333333,78.23333333,82.06666667
API,75.03225806,75.35483871,102.9677419,88.25806452,78.80645161,73.96774194,74.5483871,81.25806452,74.61290323,81.64516129
API,69.41935484,70.58064516,67.64516129,73.4516129,74.5483871,71.06451613,67.77419355,67.03225806,68.12903226,58.96774194
API,60.66666667,69.63333333,57.33333333,83,83.96666667,77.4,75.33333333,69.73333333,70.83333333,61.3
API,72.83870968,82.4516129,69.58064516,83.12903226,84.48387097,64.67741935,88.83870968,86.51612903,68.90322581,58.48387097
API,108.4333333,83.66666667,67.36666667,105.9,91.43333333,99.46666667,95.5,99.13333333,88.6,82.66666667
API,113.6774194,119.0967742,74.29032258,98.96774194,105.2258065,114.2903226,103.483871,102.7419355,97.64516129,93.48387097
SO2,0.100225806,0.186967742,0.109419355,0.101096774,0.086225806,0.138612903,0.134806452,0.136225806,0.132258065,0.051677419
SO2,0.073107143,0.102714286,0.083214286,0.056178571,0.050035714,0.088321429,0.113107143,0.104785714,0.111,0.054785714
SO2,0.043354839,0.060903226,0.047032258,0.06183871,0.042451613,0.057516129,0.054774194,0.032064516,0.078290323,0.025322581
SO2,0.0181,0.031233333,0.039766667,0.052866667,0.029033333,0.034466667,0.031766667,0.021366667,0.0286,0.0207
SO2,0.018387097,0.023967742,0.031354839,0.033483871,0.016645161,0.025225806,0.018129032,0.020967742,0.022967742,0.023806452
SO2,0.020333333,0.016366667,0.0341,0.029666667,0.014066667,0.024366667,0.019933333,0.020933333,0.022633333,0.018066667
SO2,0.014322581,0.010967742,0.019032258,0.016774194,0.014548387,0.016548387,0.014580645,0.009612903,0.016290323,0.01816129
SO2,0.021419355,0.014064516,0.01383871,0.025258065,0.019096774,0.019548387,0.013580645,0.016032258,0.020806452,0.038935484
SO2,0.022766667,0.019166667,0.011833333,0.0444,0.0311,0.0262,0.016366667,0.015266667,0.0223,0.043933333
SO2,0.026516129,0.024258065,0.026451613,0.041967742,0.029193548,0.040354839,0.029516129,0.022290323,0.024129032,0.052258065
SO2,0.077233333,0.060766667,0.036666667,0.076733333,0.034133333,0.0928,0.091033333,0.094533333,0.021666667,0.121833333
SO2,0.137354839,0.124741935,0.047790323,0.117096774,0.102806452,0.108258065,0.094709677,0.114612903,0.040064516,0.137612903
NO2,0.042483871,0.050612903,0.065741935,0.028032258,0.033774194,0.037419355,0.035548387,0.034516129,0.060967742,0.024193548
NO2,0.035857143,0.04625,0.0605,0.016857143,0.021071429,0.029,0.033464286,0.038535714,0.047142857,0.023714286
NO2,0.037258065,0.049032258,0.048,0.016645161,0.021870968,0.023806452,0.026612903,0.030193548,0.037967742,0.018645161
NO2,0.0263,0.0408,0.046066667,0.017133333,0.017066667,0.0213,0.011366667,0.027433333,0.022533333,0.0164
NO2,0.037870968,0.041806452,0.055419355,0.015903226,0.013096774,0.014806452,0.009709677,0.023774194,0.018483871,0.015483871
NO2,0.031533333,0.020733333,0.0578,0.0153,0.011033333,0.012633333,0.0109,0.017933333,0.017633333,0.0147
NO2,0.022645161,0.018258065,0.031516129,0.016903226,0.013935484,0.01116129,0.009032258,0.010193548,0.015548387,0.013483871
NO2,0.031451613,0.021193548,0.017774194,0.026064516,0.018967742,0.011354839,0.008645161,0.012290323,0.018483871,0.039
NO2,0.035,0.026766667,0.017166667,0.026466667,0.022933333,0.016766667,0.013333333,0.014433333,0.021266667,0.049666667
NO2,0.031774194,0.051096774,0.015225806,0.025032258,0.020903226,0.025129032,0.027903226,0.017193548,0.023580645,0.058451613
NO2,0.041866667,0.051133333,0.017433333,0.0312,0.021633333,0.047266667,0.0341,0.033033333,0.021666667,0.0787
NO2,0.04916129,0.067451613,0.01683871,0.03483871,0.02883871,0.022741935,0.041322581,0.046741935,0.020451613,0.078129032
PM10,0.126612903,0.163967742,0.179709677,0.096774194,0.130225806,0.158064516,0.157322581,0.142516129,0.159516129,0.122967742
PM10,0.113571429,0.146642857,0.205857143,0.068571429,0.07025,0.129214286,0.126535714,0.17475,0.152678571,0.136642857
PM10,0.127516129,0.164677419,0.190096774,0.136129032,0.138032258,0.123806452,0.136870968,0.120032258,0.152516129,0.098096774
PM10,0.118933333,0.1471,0.186433333,0.168133333,0.114533333,0.1176,0.116766667,0.12,0.103566667,0.111333333
PM10,0.097806452,0.133419355,0.167870968,0.078225806,0.071193548,0.119064516,0.134645161,0.094354839,0.101354839,0.100258065
PM10,0.0947,0.103633333,0.1828,0.085066667,0.087466667,0.0886,0.142766667,0.120533333,0.106,0.113466667
PM10,0.099419355,0.100322581,0.155483871,0.126032258,0.107096774,0.097516129,0.098580645,0.111290323,0.098806452,0.112709677
PM10,0.088258065,0.091322581,0.085354839,0.096516129,0.098580645,0.091741935,0.08516129,0.083741935,0.086967742,0.069387097
PM10,0.073333333,0.089133333,0.0677,0.1156,0.1176,0.105133333,0.1004,0.089766667,0.092866667,0.0738
PM10,0.096419355,0.115032258,0.090612903,0.115741935,0.118548387,0.079677419,0.127225806,0.122645161,0.088193548,0.067225806
PM10,0.161066667,0.117533333,0.0853,0.161366667,0.132366667,0.1447,0.134166667,0.143333333,0.122066667,0.113266667
PM10,0.171612903,0.186741935,0.097806452,0.132387097,0.157870968,0.166032258,0.151290323,0.155129032,0.144290323,0.131419355
