"","Group.1","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"1",1,0.126612903225806,0.163967741935484,0.179709677419355,0.0967741935483871,0.130225806451613,0.158064516129032,0.157322580645161,0.142516129032258,0.159516129032258,0.122967741935484
"2",2,0.113571428571429,0.146642857142857,0.205857142857143,0.0685714285714286,0.07025,0.129214285714286,0.126535714285714,0.17475,0.152678571428571,0.136642857142857
"3",3,0.127516129032258,0.164677419354839,0.190096774193548,0.136129032258065,0.138032258064516,0.123806451612903,0.136870967741935,0.120032258064516,0.152516129032258,0.0980967741935484
"4",4,0.118933333333333,0.1471,0.186433333333333,0.168133333333333,0.114533333333333,0.1176,0.116766666666667,0.12,0.103566666666667,0.111333333333333
"5",5,0.0978064516129032,0.13341935483871,0.167870967741935,0.0782258064516129,0.0711935483870968,0.119064516129032,0.134645161290323,0.0943548387096774,0.101354838709677,0.100258064516129
"6",6,0.0947,0.103633333333333,0.1828,0.0850666666666667,0.0874666666666667,0.0886,0.142766666666667,0.120533333333333,0.106,0.113466666666667
"7",7,0.0994193548387097,0.100322580645161,0.155483870967742,0.126032258064516,0.107096774193548,0.0975161290322581,0.0985806451612903,0.111290322580645,0.0988064516129032,0.112709677419355
"8",8,0.088258064516129,0.0913225806451613,0.0853548387096774,0.0965161290322581,0.0985806451612903,0.091741935483871,0.0851612903225806,0.083741935483871,0.0869677419354839,0.0693870967741936
"9",9,0.0733333333333333,0.0891333333333333,0.0677,0.1156,0.1176,0.105133333333333,0.1004,0.0897666666666667,0.0928666666666667,0.0738
"10",10,0.0964193548387097,0.115032258064516,0.0906129032258065,0.115741935483871,0.118548387096774,0.0796774193548387,0.127225806451613,0.122645161290323,0.0881935483870968,0.0672258064516129
"11",11,0.161066666666667,0.117533333333333,0.0853,0.161366666666667,0.132366666666667,0.1447,0.134166666666667,0.143333333333333,0.122066666666667,0.113266666666667
"12",12,0.171612903225806,0.186741935483871,0.0978064516129032,0.132387096774194,0.157870967741935,0.166032258064516,0.151290322580645,0.155129032258065,0.144290322580645,0.13141935483871
