PM10,87.5,94,192,56,69,64.5,89.5,180.5,112,68.5,2,,32542.21429,29048.60714,26577.10714,23642.53571,21141.03571,18210.28571,15317.85714,13016.35714,10923.85714,8670.357143,5923.357143,3155.285714
PM10,97,90.5,86.5,72,59.5,76.5,99.5,238.5714286,114.5,76.5,2,,31692.46429,28708.46429,25468.14286,22832.64286,20282.64286,18045.14286,15487.14286,12976,10904.5,8820.5,6144.5,3179.5
PM10,71,89.5,94.5,68,56.5,84.5,140,110.5,117.5,147.5,2,,30741.32143,27493.82143,24656.32143,21320.03571,19016.53571,16670.53571,14330.53571,12025.53571,9919.035714,7800.535714,5670.535714,3020.785714
PM10,77.5,136.5,111.5,69,35,88,88,111.5,134.5,85.5,2,,28077.5,25375.14286,22762.14286,20472.64286,18052.64286,15723.64286,13271.64286,10749.64286,8927.642857,7092.642857,5285.142857,2828.714286
PM10,92,54.5,94.5,62.5,57,87,97.5,110,156,92.5,2,,,,,,,,,,,,,
PM10,85,57.5,91.5,50.5,47,201.4285714,78,306.25,95.5,113.5,2,,13.158 ,11.955 ,10.950 ,9.741 ,8.629 ,7.626 ,6.674 ,5.657 ,4.716 ,3.919 ,2.932 ,1.506 
PM10,87.5,63,123.5,45,56,171,95,142,122.5,91.5,2,,14.410 ,12.953 ,11.744 ,10.283 ,8.984 ,7.736 ,6.724 ,5.700 ,4.742 ,3.829 ,2.709 ,1.612 
PM10,104.5,61.5,103,56.5,29,123.5,97.5,173,126.5,130,2,,15.294 ,13.670 ,12.097 ,10.463 ,8.905 ,7.422 ,5.888 ,4.490 ,3.572 ,2.818 ,1.874 ,1.000 
PM10,65,85.5,114,93,30,87,64,120,133.5,77.5,2,,13.238 ,12.239 ,11.523 ,10.256 ,8.819 ,7.951 ,7.065 ,5.866 ,4.870 ,3.780 ,2.651 ,1.259 
PM10,80,69,105.5,54,51,73,67.5,98,78.5,67,2,,13.025 ,11.800 ,11.073 ,9.765 ,8.681 ,7.862 ,6.957 ,5.887 ,4.876 ,3.773 ,2.626 ,1.425 
PM10,101.5,49,185,50,63.5,78,81,98,63,78.5,2,,13.597 ,12.177 ,11.075 ,9.899 ,8.751 ,7.595 ,6.686 ,5.682 ,4.717 ,3.699 ,2.822 ,1.528 
PM10,110.5,52,170.5,63.5,82.5,66.5,71.5,114.5,68,70.5,2,,14.292 ,12.757 ,11.672 ,10.383 ,9.285 ,7.997 ,6.727 ,5.716 ,4.797 ,3.808 ,2.601 ,1.386 
PM10,88.5,73,160,63.5,63.5,111.5,59.5,97.5,91,83,2,,13.919 ,12.608 ,11.185 ,10.028 ,8.908 ,7.925 ,6.802 ,5.699 ,4.789 ,3.874 ,2.699 ,1.396 
PM10,68,102,196,71,73,80,78.5,78.5,118.5,72,2,,13.501 ,12.075 ,10.828 ,9.363 ,8.352 ,7.321 ,6.294 ,5.281 ,4.356 ,3.426 ,2.490 ,1.327 
PM10,65,105,114.5,65.5,91.5,48,77.5,70.5,87.5,74.5,2,,12.331 ,11.144 ,9.997 ,8.991 ,7.928 ,6.905 ,5.829 ,4.721 ,3.921 ,3.115 ,2.321 ,1.242 
PM10,53,98.5,143,36,79,80.5,94.5,78,75.5,81,2,,,,,,,,,,,,,
