"","Group.1","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"1",1,89.4838709677419,113.193548387097,119.548387096774,80.6774193548387,91.9032258064516,106,116.870967741935,99.0322580645161,106.322580645161,87.4193548387097
"2",2,82.2857142857143,100.5,128.25,60,61.3571428571429,91.6428571428571,89.5,116.107142857143,103.357142857143,93.6428571428571
"3",3,89.0645161290323,107.548387096774,120.225806451613,93.3870967741936,96.3548387096774,86.6451612903226,94.9032258064516,85.2258064516129,108.774193548387,74.0645161290323
"4",4,84.6,98.7666666666667,118.5,109.366666666667,82.5333333333333,87.4,83.6,85.2666666666667,77.0333333333333,80.9333333333333
"5",5,73.8709677419355,91.9354838709677,109.129032258065,63.9677419354839,60.3548387096774,85.1290322580645,94.8064516129032,72.4838709677419,75.9032258064516,75.3870967741936
"6",6,72.5,76.9666666666667,116.7,67.5666666666667,68.9666666666667,69.2666666666667,96.6333333333333,85.5333333333333,78.2333333333333,82.0666666666667
"7",7,75.0322580645161,75.3548387096774,102.967741935484,88.258064516129,78.8064516129032,73.9677419354839,74.5483870967742,81.258064516129,74.6129032258064,81.6451612903226
"8",8,69.4193548387097,70.5806451612903,67.6451612903226,73.4516129032258,74.5483870967742,71.0645161290323,67.7741935483871,67.0322580645161,68.1290322580645,58.9677419354839
"9",9,60.6666666666667,69.6333333333333,57.3333333333333,83,83.9666666666667,77.4,75.3333333333333,69.7333333333333,70.8333333333333,61.3
"10",10,72.8387096774194,82.4516129032258,69.5806451612903,83.1290322580645,84.4838709677419,64.6774193548387,88.8387096774194,86.5161290322581,68.9032258064516,58.4838709677419
"11",11,108.433333333333,83.6666666666667,67.3666666666667,105.9,91.4333333333333,99.4666666666667,95.5,99.1333333333333,88.6,82.6666666666667
"12",12,113.677419354839,119.096774193548,74.2903225806452,98.9677419354839,105.225806451613,114.290322580645,103.483870967742,102.741935483871,97.6451612903226,93.4838709677419
