2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.16,0.104,0.148,0.232,0.193,0.09,0.148,0.137,0.41,0.161
0.302,0.136,0.252,0.152,0.221,0.113,0.131,0.116,0.161,0.084
0.147,0.155,0.184,0.197,0.139,0.114,0.205,0.101,0.363,0.06
0.158,0.198,0.154,0.151,0.098,0.209,0.128,0.075,0.132,0.107
0.138,0.174,0.18,0.086,0.111,0.145,0.074,0.056,0.109,0.058
0.094,0.158,0.186,0.104,0.184,0.133,0.085,0.078,0.081,0.099
0.117,0.166,0.206,0.12,0.157,0.142,0.082,0.117,0.105,0.088
0.096,0.125,0.154,0.14,0.211,0.13,0.088,0.106,0.143,0.09
0.114,0.146,0.184,0.177,0.105,0.128,0.099,0.11,0.159,0.092
0.115,0.226,0.206,0.121,0.185,0.131,0.068,0.11,0.091,0.129
0.093,0.237,0.321,0.135,0.144,0.289,0.14,0.105,0.105,0.119
0.164,0.138,0.248,0.18,0.113,0.467,0.132,0.108,0.184,0.251
0.143,0.11,0.197,0.154,0.098,0.117,0.096,0.072,0.095,0.124
0.264,0.079,0.172,0.153,0.093,0.092,0.151,0.098,0.143,0.082
0.174,0.095,0.095,0.197,0.083,0.076,0.11,0.107,0.131,0.095
0.118,0.147,0.121,0.163,0.121,0.088,0.142,0.149,0.115,0.112
0.062,0.128,0.132,0.133,0.114,0.092,0.11,0.126,0.13,0.066
0.235,0.141,0.177,0.168,0.09,0.112,0.097,0.1,0.076,0.093
0.174,0.145,0.173,0.352,0.128,0.095,0.15,0.111,0.097,0.172
0.139,0.162,0.144,0.129,0.224,0.102,0.148,0.128,0.086,0.123
0.129,0.128,0.179,0.124,0.207,0.118,0.1,0.102,0.103,0.136
0.114,0.156,0.139,0.14,0.237,0.147,0.082,0.087,0.17,0.071
0.124,0.252,0.235,0.128,0.149,0.119,0.173,0.136,0.127,0.089
0.128,0.261,0.28,0.165,0.051,0.105,0.075,0.186,0.056,0.073
0.124,0.154,0.183,0.141,0.07,0.09,0.093,0.175,0.072,0.109
0.178,0.211,0.179,0.25,0.063,0.095,0.107,0.124,0.059,0.217
0.076,0.198,0.193,0.151,0.115,0.078,0.081,0.103,0.062,0.204
0.124,0.154,0.176,0.15,0.131,0.099,0.115,0.131,0.145,0.121
0.078,0.104,0.193,0.217,0.137,0.071,0.142,0.081,0.143,0.146
0.076,0.112,0.188,0.133,0.17,0.089,0.139,0.133,0.131,0.083
0.068,0.13,0.209,0.154,0.086,0.115,0.138,0.057,0.162,0.1
0.059,0.112,0.222,0.143,0.091,0.148,0.078,0.072,0.096,0.088
0.068,0.076,0.264,0.108,0.078,0.119,0.07,0.08,0.061,0.069
0.062,0.116,0.288,0.154,0.104,0.1,0.054,0.112,0.072,0.064
0.075,0.217,0.25,0.127,0.097,0.083,0.083,0.131,0.081,0.064
0.094,0.189,0.259,0.17,0.106,0.098,0.078,0.32,0.08,0.073
0.092,0.116,0.165,0.134,0.092,0.1,0.21,0.083,0.088,0.155
0.134,0.217,0.165,0.143,0.105,0.121,0.147,0.067,0.078,0.093
0.094,0.139,0.087,0.124,0.109,0.141,0.141,0.127,0.079,0.076
0.077,0.123,0.126,0.319,0.068,0.132,0.123,0.177,0.086,0.074
0.121,0.103,0.154,0.24,0.106,0.119,0.138,0.117,0.099,0.117
0.125,0.106,0.175,0.255,0.125,0.064,0.1,0.094,0.096,0.219
0.093,0.097,0.146,0.171,0.129,0.074,0.127,0.135,0.136,0.119
0.135,0.103,0.231,0.063,0.083,0.102,0.104,0.081,0.123,0.078
0.163,0.175,0.124,0.089,0.083,0.113,0.085,0.093,0.112,0.076
0.152,0.12,0.158,0.08,0.053,0.121,0.07,0.064,0.082,0.097
0.08,0.112,0.133,0.042,0.048,0.132,0.093,0.072,0.08,0.097
0.053,0.115,0.216,0.058,0.085,0.098,0.092,0.081,0.063,0.129
