2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.025,0.034,0.092,0.106,0.050,0.043,0.033,0.031,0.063,0.028
0.027,0.054,0.049,0.055,0.055,0.049,0.026,0.026,0.069,0.017
0.036,0.060,0.035,0.087,0.031,0.050,0.033,0.029,0.078,0.020
0.033,0.046,0.067,0.023,0.025,0.046,0.033,0.025,0.078,0.017
0.023,0.052,0.071,0.029,0.031,0.041,0.029,0.025,0.069,0.012
0.014,0.037,0.047,0.036,0.029,0.051,0.033,0.016,0.030,0.022
0.027,0.062,0.031,0.046,0.044,0.070,0.031,0.030,0.062,0.019
0.027,0.043,0.028,0.056,0.021,0.087,0.032,0.027,0.123,0.017
0.026,0.029,0.046,0.060,0.018,0.036,0.030,0.035,0.100,0.022
0.021,0.055,0.038,0.040,0.060,0.053,0.032,0.029,0.041,0.021
0.017,0.063,0.034,0.039,0.032,0.070,0.033,0.025,0.035,0.025
0.013,0.057,0.022,0.091,0.037,0.084,0.042,0.017,0.073,0.027
0.032,0.034,0.033,0.070,0.023,0.034,0.049,0.017,0.032,0.034
0.034,0.019,0.028,0.058,0.024,0.021,0.027,0.025,0.031,0.020
0.043,0.022,0.027,0.038,0.024,0.040,0.032,0.019,0.030,0.017
0.031,0.044,0.023,0.043,0.035,0.036,0.031,0.027,0.033,0.024
0.006,0.032,0.034,0.030,0.043,0.041,0.027,0.024,0.032,0.017
0.013,0.033,0.043,0.051,0.026,0.042,0.032,0.020,0.021,0.020
0.011,0.029,0.036,0.078,0.032,0.035,0.041,0.021,0.019,0.023
0.015,0.050,0.040,0.038,0.029,0.031,0.029,0.021,0.022,0.021
0.018,0.041,0.030,0.032,0.034,0.043,0.032,0.015,0.025,0.024
0.022,0.033,0.053,0.049,0.051,0.070,0.065,0.017,0.064,0.028
0.018,0.026,0.068,0.056,0.024,0.035,0.043,0.020,0.051,0.016
0.015,0.038,0.042,0.056,0.014,0.023,0.038,0.027,0.014,0.018
0.012,0.028,0.041,0.041,0.026,0.039,0.038,0.035,0.015,0.020
0.024,0.019,0.042,0.068,0.025,0.033,0.029,0.018,0.017,0.028
0.010,0.016,0.033,0.050,0.040,0.027,0.034,0.023,0.016,0.028
0.014,0.031,0.037,0.044,0.024,0.025,0.039,0.027,0.027,0.018
0.015,0.021,0.039,0.060,0.029,0.019,0.037,0.016,0.029,0.010
0.011,0.028,0.052,0.053,0.023,0.020,0.035,0.039,0.028,0.016
0.012,0.051,0.052,0.040,0.017,0.027,0.028,0.013,0.047,0.019
0.011,0.035,0.041,0.035,0.028,0.035,0.031,0.017,0.065,0.016
0.018,0.016,0.041,0.041,0.021,0.042,0.017,0.019,0.031,0.017
0.015,0.032,0.078,0.058,0.024,0.037,0.016,0.028,0.018,0.020
0.015,0.050,0.084,0.041,0.021,0.030,0.016,0.017,0.016,0.019
0.020,0.036,0.042,0.051,0.036,0.027,0.017,0.021,0.020,0.016
0.021,0.020,0.037,0.051,0.028,0.026,0.019,0.016,0.016,0.023
0.033,0.034,0.016,0.053,0.035,0.058,0.027,0.015,0.015,0.021
0.021,0.024,0.030,0.039,0.047,0.018,0.028,0.019,0.015,0.021
0.009,0.018,0.026,0.104,0.021,0.017,0.026,0.027,0.019,0.019
0.011,0.020,0.023,0.067,0.030,0.019,0.028,0.021,0.017,0.021
0.032,0.018,0.038,0.046,0.030,0.023,0.024,0.034,0.025,0.019
0.023,0.015,0.041,0.039,0.043,0.019,0.023,0.018,0.020,0.021
0.015,0.023,0.018,0.022,0.033,0.022,0.018,0.017,0.019,0.022
0.026,0.042,0.028,0.035,0.017,0.035,0.017,0.017,0.021,0.025
0.029,0.040,0.035,0.045,0.013,0.021,0.016,0.016,0.015,0.018
0.019,0.037,0.040,0.024,0.014,0.026,0.021,0.016,0.020,0.022
0.009,0.029,0.050,0.029,0.024,0.020,0.016,0.020,0.019,0.040
0.014,0.026,0.029,0.037,0.024,0.029,0.016,0.023,0.022,0.032
0.016,0.033,0.037,0.036,0.016,0.034,0.030,0.018,0.027,0.014
0.013,0.018,0.053,0.061,0.016,0.024,0.015,0.026,0.022,0.022
0.008,0.014,0.041,0.024,0.018,0.021,0.020,0.015,0.018,0.029
0.009,0.023,0.027,0.035,0.015,0.023,0.014,0.022,0.029,0.023
0.018,0.037,0.025,0.035,0.014,0.024,0.011,0.030,0.038,0.019
0.033,0.026,0.033,0.046,0.012,0.026,0.011,0.020,0.036,0.016
0.008,0.017,0.029,0.026,0.016,0.041,0.018,0.017,0.024,0.023
0.003,0.020,0.033,0.020,0.017,0.018,0.027,0.025,0.030,0.068
0.005,0.030,0.023,0.016,0.014,0.023,0.031,0.018,0.016,0.029
0.013,0.028,0.024,0.021,0.015,0.016,0.032,0.016,0.015,0.017
0.018,0.026,0.031,0.025,0.012,0.023,0.018,0.016,0.027,0.024
0.019,0.024,0.030,0.046,0.015,0.022,0.014,0.017,0.016,0.041
0.018,0.025,0.032,0.041,0.014,0.015,0.016,0.018,0.019,0.021
0.015,0.016,0.035,0.029,0.010,0.021,0.018,0.018,0.024,0.020
0.028,0.005,0.035,0.044,0.013,0.017,0.017,0.016,0.024,0.014
0.027,0.016,0.031,0.044,0.015,0.014,0.012,0.016,0.024,0.016
0.020,0.028,0.027,0.028,0.012,0.024,0.012,0.029,0.018,0.016
0.037,0.018,0.020,0.031,0.010,0.026,0.017,0.020,0.022,0.032
0.029,0.027,0.018,0.031,0.009,0.029,0.013,0.026,0.038,0.017
0.028,0.022,0.021,0.030,0.009,0.040,0.021,0.029,0.019,0.023
0.012,0.011,0.033,0.036,0.014,0.047,0.019,0.038,0.015,0.016
0.009,0.021,0.032,0.026,0.018,0.037,0.013,0.017,0.015,0.018
0.017,0.028,0.023,0.030,0.014,0.022,0.012,0.022,0.035,0.021
0.015,0.030,0.021,0.039,0.012,0.017,0.011,0.021,0.037,0.014
0.040,0.016,0.030,0.048,0.011,0.017,0.012,0.026,0.028,0.014
0.037,0.011,0.027,0.038,0.013,0.019,0.019,0.070,0.033,0.020
0.014,0.020,0.028,0.048,0.015,0.022,0.010,0.114,0.017,0.031
