2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0.043,0.041,0.074,0.028,0.033,0.015,0.026,0.043,0.039,0.022
0.029,0.058,0.046,0.021,0.028,0.022,0.014,0.032,0.042,0.017
0.031,0.059,0.040,0.023,0.023,0.023,0.016,0.029,0.038,0.015
0.030,0.060,0.051,0.007,0.019,0.025,0.015,0.024,0.039,0.013
0.022,0.051,0.058,0.011,0.025,0.024,0.019,0.022,0.035,0.012
0.017,0.033,0.062,0.011,0.022,0.021,0.020,0.020,0.029,0.022
0.029,0.045,0.036,0.016,0.029,0.031,0.016,0.036,0.037,0.022
0.026,0.046,0.031,0.016,0.015,0.027,0.017,0.028,0.037,0.019
0.038,0.029,0.056,0.016,0.016,0.021,0.018,0.030,0.048,0.021
0.026,0.070,0.042,0.016,0.034,0.026,0.018,0.030,0.027,0.019
0.025,0.063,0.037,0.015,0.031,0.031,0.023,0.034,0.030,0.020
0.018,0.036,0.037,0.025,0.023,0.029,0.020,0.023,0.038,0.026
0.046,0.033,0.049,0.025,0.015,0.018,0.020,0.023,0.021,0.016
0.037,0.034,0.031,0.022,0.018,0.022,0.016,0.026,0.036,0.020
0.040,0.039,0.043,0.011,0.019,0.019,0.008,0.025,0.035,0.023
0.031,0.060,0.027,0.010,0.018,0.017,0.008,0.037,0.032,0.024
0.017,0.044,0.053,0.010,0.022,0.018,0.006,0.029,0.029,0.013
0.020,0.044,0.045,0.014,0.017,0.024,0.012,0.024,0.021,0.016
0.020,0.047,0.041,0.020,0.028,0.022,0.012,0.022,0.013,0.028
0.030,0.047,0.039,0.014,0.021,0.020,0.009,0.028,0.016,0.014
0.034,0.043,0.035,0.019,0.026,0.024,0.010,0.019,0.023,0.013
0.038,0.052,0.071,0.021,0.036,0.035,0.014,0.027,0.029,0.020
0.022,0.032,0.076,0.015,0.010,0.018,0.010,0.029,0.026,0.013
0.021,0.061,0.051,0.017,0.010,0.019,0.012,0.028,0.015,0.014
0.013,0.034,0.054,0.012,0.015,0.023,0.008,0.041,0.016,0.013
0.032,0.025,0.037,0.021,0.010,0.017,0.007,0.023,0.015,0.019
0.023,0.026,0.034,0.015,0.014,0.023,0.010,0.031,0.012,0.020
0.020,0.044,0.040,0.011,0.008,0.023,0.013,0.039,0.027,0.012
0.028,0.033,0.055,0.027,0.012,0.012,0.010,0.022,0.027,0.009
0.018,0.040,0.048,0.015,0.011,0.010,0.012,0.032,0.026,0.018
0.020,0.045,0.055,0.014,0.014,0.016,0.012,0.019,0.026,0.011
0.018,0.034,0.051,0.011,0.019,0.024,0.013,0.024,0.029,0.013
0.026,0.026,0.034,0.013,0.016,0.024,0.007,0.027,0.024,0.015
0.015,0.048,0.047,0.022,0.011,0.024,0.007,0.037,0.021,0.016
0.017,0.072,0.069,0.012,0.013,0.020,0.010,0.022,0.024,0.018
0.033,0.046,0.051,0.022,0.020,0.020,0.010,0.024,0.015,0.012
0.028,0.025,0.054,0.016,0.017,0.023,0.013,0.028,0.016,0.020
0.040,0.055,0.034,0.015,0.017,0.029,0.016,0.025,0.013,0.015
0.028,0.033,0.045,0.017,0.022,0.036,0.016,0.030,0.014,0.015
0.026,0.033,0.034,0.026,0.016,0.017,0.010,0.037,0.015,0.011
0.030,0.033,0.042,0.022,0.014,0.013,0.010,0.022,0.022,0.015
0.041,0.027,0.050,0.014,0.017,0.016,0.007,0.022,0.018,0.013
0.036,0.025,0.073,0.017,0.026,0.012,0.009,0.029,0.013,0.016
0.051,0.048,0.032,0.009,0.020,0.017,0.010,0.025,0.013,0.015
0.060,0.048,0.057,0.019,0.012,0.017,0.008,0.023,0.016,0.015
0.045,0.039,0.043,0.015,0.008,0.014,0.010,0.016,0.014,0.009
0.031,0.044,0.069,0.012,0.008,0.018,0.006,0.017,0.017,0.012
0.023,0.034,0.068,0.010,0.023,0.012,0.006,0.019,0.014,0.026
0.034,0.040,0.052,0.016,0.014,0.017,0.008,0.021,0.019,0.020
0.043,0.060,0.066,0.017,0.012,0.018,0.013,0.018,0.019,0.018
0.035,0.046,0.074,0.018,0.010,0.015,0.008,0.020,0.019,0.018
0.024,0.032,0.069,0.013,0.018,0.014,0.012,0.021,0.016,0.017
0.020,0.051,0.065,0.023,0.011,0.014,0.008,0.025,0.023,0.017
0.046,0.046,0.057,0.020,0.010,0.011,0.009,0.037,0.026,0.015
0.045,0.037,0.070,0.023,0.010,0.014,0.010,0.026,0.024,0.016
0.018,0.038,0.051,0.012,0.009,0.021,0.011,0.023,0.021,0.014
0.014,0.045,0.066,0.010,0.008,0.007,0.012,0.028,0.020,0.026
0.014,0.054,0.045,0.015,0.007,0.012,0.019,0.024,0.022,0.014
0.036,0.064,0.058,0.015,0.009,0.011,0.014,0.019,0.017,0.012
0.047,0.044,0.048,0.016,0.009,0.013,0.016,0.019,0.016,0.017
0.044,0.063,0.040,0.026,0.016,0.011,0.009,0.020,0.014,0.022
0.052,0.054,0.054,0.017,0.010,0.015,0.010,0.024,0.017,0.016
0.053,0.030,0.064,0.017,0.010,0.026,0.008,0.025,0.028,0.015
0.053,0.009,0.054,0.022,0.011,0.012,0.012,0.019,0.018,0.011
